id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.100,0.525,0.085,175.000,55.556,358.333,1830.556,1100.000,R
2,-0.135,0.530,0.065,138.889,80.556,311.111,677.778,1152.778,A
3,-0.170,0.250,0.075,166.667,66.667,347.222,702.778,25.000,A
4,-0.165,0.260,0.040,183.333,55.556,352.778,1869.444,1166.667,R
5,-0.140,0.245,0.030,72.222,83.333,347.222,658.333,1211.111,A
6,-0.180,0.125,0.010,169.444,69.444,361.111,1669.444,1011.111,R
7,-0.195,0.195,-0.015,119.444,69.444,333.333,672.222,997.222,A
8,-0.135,0.225,-0.020,177.778,66.667,358.333,1672.222,1000.000,R
9,-0.150,0.260,-0.030,113.889,52.778,341.667,666.667,1005.556,A
10,-0.150,0.080,-0.025,197.222,69.444,386.111,1638.889,972.222,R
11,-0.075,0.240,0.115,97.222,75.000,358.333,675.000,963.889,A
12,-0.060,0.300,0.045,47.222,58.333,344.444,752.778,77.778,A
13,-0.135,0.195,-0.030,191.667,69.444,386.111,1741.667,988.889,R
14,-0.175,0.145,0.070,88.889,38.889,325.000,663.889,1077.778,A
15,-0.160,0.360,0.055,188.889,80.556,347.222,725.000,61.111,A
16,-0.140,0.455,0.045,136.111,77.778,366.667,694.444,30.556,A
17,-0.185,0.455,0.055,147.222,77.778,358.333,725.000,30.556,A
18,-0.175,0.485,0.045,130.556,83.333,358.333,725.000,0.000,A
19,-0.200,0.405,0.050,188.889,80.556,338.889,691.667,33.333,A
20,-0.205,0.395,0.060,130.556,83.333,319.444,700.000,8.333,A
21,-0.135,0.375,0.025,161.111,58.333,352.778,1905.556,1205.556,R
22,-0.090,0.255,-0.010,186.111,97.222,361.111,2636.111,730.556,R
23,-0.090,0.355,0.045,183.333,75.000,366.667,1125.000,1511.111,R
24,-0.170,0.255,0.015,169.444,83.333,352.778,680.556,444.444,A
25,-0.185,0.225,0.005,172.222,52.778,347.222,711.111,30.556,A
26,-0.110,0.315,0.035,166.667,69.444,350.000,1850.000,1138.889,R
27,-0.100,0.490,0.080,166.667,72.222,341.667,672.222,1177.778,A
28,-0.165,0.500,0.025,183.333,80.556,347.222,750.000,77.778,A
29,-0.195,0.475,0.025,52.778,63.889,333.333,730.556,19.444,A
30,-0.205,0.420,-0.010,91.667,69.444,347.222,708.333,22.222,A
31,-0.215,0.285,0.045,197.222,77.778,344.444,708.333,0.000,A
32,-0.190,0.245,0.080,166.667,80.556,347.222,711.111,2.778,A
33,-0.150,0.480,0.065,144.444,86.111,341.667,725.000,13.889,A
34,-0.205,0.405,0.030,152.778,83.333,330.556,727.778,2.778,A
35,-0.275,0.485,0.000,88.889,63.889,333.333,738.889,11.111,A
