id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.320,2.225,-0.430,3066.667,69.444,277.778,741.667,25.000,N
2,-0.320,2.120,-0.370,3802.778,75.000,280.556,736.111,5.556,N
3,-0.320,2.240,-0.335,4552.778,83.333,305.556,750.000,13.889,N
4,-0.320,1.990,-0.490,5302.778,75.000,286.111,750.000,0.000,N
5,-0.320,2.065,-0.565,6055.556,66.667,258.333,752.778,2.778,N
6,-0.320,2.285,-0.460,6797.222,72.222,277.778,741.667,11.111,N
7,-0.320,1.640,-0.290,7550.000,83.333,311.111,752.778,11.111,N
8,-0.860,2.345,-0.165,127.778,66.667,283.333,747.222,5.556,N
9,-0.835,2.310,-0.185,127.778,75.000,280.556,744.444,2.778,N
10,-0.930,2.485,-0.390,130.556,63.889,275.000,761.111,16.667,N
11,-0.985,2.295,-0.305,133.333,66.667,272.222,741.667,19.444,N
12,-0.905,2.475,-0.290,125.000,66.667,286.111,752.778,11.111,N
13,-0.880,2.305,-0.235,133.333,66.667,280.556,769.444,16.667,N
14,-0.925,2.235,-0.340,136.111,80.556,283.333,750.000,19.444,N
15,-0.320,2.140,-0.395,13572.222,80.556,300.000,755.556,5.556,N
16,-0.900,2.375,-0.260,136.111,77.778,291.667,772.222,16.667,N
17,-0.320,2.290,-0.425,15094.444,83.333,280.556,750.000,22.222,N
18,-0.320,2.070,-0.290,15850.000,80.556,286.111,755.556,5.556,N
19,-0.840,2.485,-0.265,119.444,69.444,283.333,752.778,2.778,N
20,-0.890,2.365,-0.270,130.556,66.667,277.778,769.444,16.667,N
21,-0.990,2.295,-0.445,130.556,69.444,277.778,772.222,2.778,N
22,-0.320,1.970,-0.435,18894.444,83.333,294.444,750.000,22.222,N
23,-0.320,2.385,-0.320,19680.556,77.778,294.444,786.111,36.111,N
24,-0.320,2.340,-0.365,20444.444,66.667,280.556,763.889,22.222,N
25,-0.320,2.280,-0.575,21202.778,58.333,252.778,758.333,5.556,N
26,-0.320,2.180,-0.470,21972.222,61.111,277.778,769.444,11.111,N
27,-0.320,2.325,-0.445,22730.556,86.111,291.667,758.333,11.111,N
28,-0.320,2.235,-0.390,23491.667,86.111,313.889,761.111,2.778,N
29,-0.320,2.340,-0.415,24272.222,61.111,277.778,780.556,19.444,N
30,-0.320,2.285,-0.485,25027.778,83.333,291.667,755.556,25.000,N
31,-0.320,2.165,-0.395,25786.111,83.333,294.444,758.333,2.778,N
32,-0.985,2.420,-0.290,130.556,77.778,283.333,772.222,13.889,N
33,-0.870,2.590,-0.330,113.889,63.889,269.444,750.000,22.222,N
34,-0.320,2.150,-0.230,28058.333,75.000,272.222,750.000,0.000,N
35,-0.855,2.545,-0.220,136.111,63.889,263.889,752.778,2.778,N
36,-0.940,2.240,-0.370,136.111,83.333,297.222,752.778,0.000,N
37,-0.910,2.475,-0.205,130.556,86.111,288.889,763.889,11.111,N
38,-0.875,2.425,-0.305,136.111,63.889,275.000,750.000,13.889,N
39,-0.320,2.240,-0.455,31833.333,83.333,288.889,755.556,5.556,N
40,-0.975,2.220,-0.305,133.333,83.333,297.222,761.111,5.556,N
41,-0.890,2.425,-0.265,127.778,77.778,275.000,772.222,11.111,N
42,-0.320,2.225,-0.570,34119.444,63.889,272.222,752.778,19.444,N
43,-0.320,1.275,-0.880,34863.889,75.000,280.556,744.444,8.333,N
44,-0.320,0.625,-0.520,35625.000,69.444,288.889,761.111,16.667,N
45,-0.800,1.975,-0.155,138.889,66.667,280.556,797.222,36.111,N
46,-0.715,2.165,-0.100,136.111,63.889,283.333,763.889,33.333,N
47,-0.775,2.250,-0.210,138.889,77.778,308.333,775.000,11.111,N
48,-0.960,2.280,-0.430,127.778,61.111,277.778,788.889,13.889,N
49,-0.320,2.070,-0.670,39502.778,80.556,283.333,752.778,36.111,N
50,-0.320,2.185,-0.440,40269.444,83.333,288.889,766.667,13.889,N
51,-0.320,2.380,-0.410,41033.333,72.222,277.778,763.889,2.778,N
52,-0.320,2.315,-0.530,41791.667,69.444,283.333,758.333,5.556,N
53,-0.320,2.065,-0.495,42552.778,69.444,283.333,761.111,2.778,N
54,-0.320,2.365,-0.300,43305.556,77.778,286.111,752.778,8.333,N
55,-0.940,2.370,-0.380,136.111,66.667,288.889,758.333,5.556,N
56,-0.320,2.150,-0.440,44825.000,63.889,275.000,761.111,2.778,N
57,-0.910,2.470,-0.270,127.778,75.000,283.333,772.222,11.111,N
58,-0.895,2.275,-0.300,141.667,86.111,286.111,752.778,19.444,N
59,-0.320,2.155,-0.430,47091.667,63.889,277.778,741.667,11.111,N
60,-0.320,2.410,-0.290,47858.333,66.667,283.333,766.667,25.000,N
61,-0.870,2.455,-0.210,136.111,83.333,286.111,786.111,19.444,N
62,-0.875,2.415,-0.270,138.889,83.333,291.667,769.444,16.667,N
63,-0.910,2.500,-0.345,141.667,63.889,294.444,777.778,8.333,N
64,-0.985,2.520,-0.295,130.556,77.778,288.889,783.333,5.556,N
65,-0.940,2.485,-0.350,119.444,58.333,266.667,780.556,2.778,N
66,-0.985,2.380,-0.400,127.778,75.000,286.111,780.556,0.000,N
67,-0.320,2.360,-0.445,53300.000,63.889,277.778,763.889,16.667,N
68,-0.320,2.445,-0.410,54080.556,80.556,286.111,780.556,16.667,N
69,-0.320,2.450,-0.400,54869.444,63.889,277.778,788.889,8.333,N
70,-0.320,2.340,-0.470,55627.778,63.889,277.778,758.333,30.556,N
71,-0.980,2.550,-0.310,127.778,69.444,286.111,775.000,16.667,N
72,-0.955,2.570,-0.330,138.889,86.111,305.556,786.111,11.111,N
73,-0.965,2.470,-0.375,119.444,61.111,258.333,769.444,16.667,N
74,-0.320,2.480,-0.450,58736.111,66.667,277.778,777.778,8.333,N
75,-0.320,2.405,-0.530,59502.778,66.667,283.333,766.667,11.111,N
76,-0.320,2.295,-0.515,60275.000,75.000,283.333,772.222,5.556,N
77,-0.320,2.410,-0.350,61066.667,83.333,302.778,791.667,19.444,N
78,-0.970,2.565,-0.370,133.333,63.889,272.222,775.000,16.667,N
79,-0.320,2.470,-0.385,62636.111,72.222,286.111,794.444,19.444,N
80,-0.320,2.505,-0.420,63402.778,63.889,275.000,766.667,27.778,N
81,-0.320,2.295,-0.415,64158.333,61.111,269.444,755.556,11.111,N
82,-0.830,2.585,-0.145,127.778,66.667,280.556,783.333,27.778,N
83,-0.840,2.635,-0.235,122.222,63.889,272.222,763.889,19.444,N
84,-0.320,2.350,-0.450,66472.222,69.444,291.667,766.667,2.778,N
85,-0.320,2.330,-0.370,67241.667,66.667,283.333,769.444,2.778,N
86,-0.320,2.315,-0.540,68002.778,66.667,277.778,761.111,8.333,N
87,-0.320,2.330,-0.375,68783.333,69.444,280.556,780.556,19.444,N
88,-0.960,2.495,-0.325,136.111,86.111,302.778,780.556,0.000,N
89,-0.320,2.290,-0.420,70308.333,86.111,300.000,744.444,36.111,N
90,-0.905,2.425,-0.200,136.111,75.000,280.556,777.778,33.333,N
91,-0.885,2.530,-0.110,133.333,77.778,286.111,766.667,11.111,N
92,-0.895,2.450,-0.270,144.444,69.444,283.333,786.111,19.444,N
93,-0.320,2.185,-0.490,73397.222,80.556,283.333,758.333,27.778,N
94,-0.320,2.360,-0.255,74158.333,72.222,280.556,761.111,2.778,N
95,-0.975,2.290,-0.440,122.222,63.889,277.778,788.889,27.778,N
96,-0.320,2.215,-0.475,75705.556,80.556,300.000,758.333,30.556,N
97,-0.980,2.320,-0.305,138.889,80.556,291.667,758.333,0.000,N
98,-0.320,2.345,-0.425,77227.778,80.556,286.111,763.889,5.556,N
99,-0.980,2.380,-0.225,127.778,66.667,280.556,758.333,5.556,N
100,-0.320,2.215,-0.650,78763.889,77.778,286.111,777.778,19.444,N
101,-0.320,1.925,-0.515,79513.889,61.111,277.778,750.000,27.778,N
102,-0.320,2.080,-0.590,80263.889,77.778,308.333,750.000,0.000,N
103,-0.320,2.190,-0.665,81038.889,83.333,291.667,775.000,25.000,N
104,-0.320,1.405,-0.435,81794.444,83.333,291.667,755.556,19.444,N
105,-0.840,2.085,-0.160,138.889,83.333,311.111,744.444,11.111,N
106,-0.725,2.480,-0.170,136.111,75.000,280.556,758.333,13.889,N
