id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.270,0.700,-0.045,75.000,105.556,105.556,811.111,13.889,/
2,-0.285,0.815,0.080,55.556,105.556,105.556,877.778,66.667,/
3,-0.305,0.800,-0.015,63.889,113.889,113.889,858.333,19.444,/
4,-0.275,0.735,0.020,72.222,105.556,105.556,825.000,33.333,/
5,-0.240,0.955,0.045,130.556,111.111,111.111,805.556,19.444,/
6,-0.275,0.650,0.040,194.444,111.111,111.111,800.000,5.556,/
7,-0.210,0.825,0.410,125.000,58.333,105.556,811.111,11.111,/
8,-0.265,0.940,0.100,116.667,113.889,113.889,808.333,2.778,/
9,-0.300,0.730,-0.030,183.333,116.667,116.667,836.111,27.778,/
10,-0.370,0.525,-0.085,55.556,105.556,105.556,886.111,50.000,/
11,-0.340,0.610,-0.060,55.556,105.556,105.556,850.000,36.111,/
12,-0.270,0.760,-0.040,50.000,97.222,358.333,808.333,41.667,/
13,-0.355,0.410,-0.150,63.889,116.667,372.222,805.556,2.778,/
14,-0.325,0.425,0.005,197.222,97.222,97.222,797.222,8.333,/
15,-0.235,0.890,0.260,61.111,69.444,108.333,827.778,30.556,/
16,-0.355,0.665,-0.090,130.556,113.889,113.889,838.889,11.111,/
17,-0.370,0.630,-0.045,105.556,105.556,105.556,838.889,0.000,/
18,-0.305,0.705,0.010,83.333,116.667,405.556,877.778,38.889,/
19,-0.235,0.865,0.005,172.222,102.778,102.778,822.222,55.556,/
20,-0.290,0.640,-0.120,66.667,113.889,113.889,791.667,30.556,/
21,-0.265,0.755,-0.030,44.444,91.667,291.667,794.444,2.778,/
22,-0.205,0.655,-0.015,69.444,113.889,402.778,808.333,13.889,/
23,-0.300,0.655,0.025,50.000,105.556,105.556,852.778,44.444,/
24,-0.295,0.660,0.115,77.778,94.444,105.556,855.556,2.778,/
25,-0.165,0.865,0.435,116.667,61.111,105.556,838.889,16.667,/
26,-0.250,0.595,0.175,188.889,66.667,105.556,872.222,33.333,/
27,-0.345,0.700,-0.060,141.667,111.111,111.111,805.556,66.667,/
28,-0.365,0.630,-0.095,55.556,102.778,372.222,777.778,27.778,/
29,-0.305,0.640,-0.185,191.667,108.333,108.333,805.556,27.778,/
30,-0.385,0.700,-0.090,55.556,102.778,102.778,825.000,19.444,/
