id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.470,1.375,0.925,188.889,116.667,402.778,875.000,50.000,/
2,-0.465,1.315,1.225,55.556,113.889,388.889,894.444,19.444,/
3,-0.530,1.185,0.830,63.889,116.667,372.222,869.444,25.000,/
4,-0.555,1.035,1.035,58.333,105.556,372.222,836.111,33.333,/
5,-0.080,0.980,1.030,102.778,91.667,336.111,827.778,8.333,/
6,-0.315,0.980,0.925,197.222,105.556,375.000,822.222,5.556,/
7,-0.660,1.040,1.255,58.333,113.889,397.222,852.778,30.556,/
8,-0.610,0.995,1.060,55.556,111.111,391.667,866.667,13.889,/
9,-0.560,1.030,0.850,66.667,116.667,402.778,872.222,5.556,/
10,-0.115,1.070,1.040,55.556,97.222,380.556,872.222,0.000,/
11,-0.210,0.870,0.765,183.333,116.667,372.222,861.111,11.111,/
12,-0.835,1.005,1.010,58.333,116.667,369.444,822.222,38.889,/
13,-0.480,1.365,1.270,55.556,111.111,344.444,813.889,8.333,/
14,-0.295,1.655,1.060,119.444,116.667,372.222,833.333,19.444,/
15,-0.450,1.460,1.060,58.333,113.889,391.667,861.111,27.778,/
16,0.005,1.320,1.110,108.333,91.667,377.778,888.889,27.778,/
17,-0.105,1.245,0.985,197.222,108.333,388.889,872.222,16.667,/
18,-0.480,1.275,1.225,58.333,116.667,397.222,847.222,25.000,/
19,-0.425,1.370,1.095,66.667,113.889,369.444,827.778,19.444,/
20,-0.345,1.305,0.995,58.333,113.889,372.222,847.222,19.444,/
21,-0.300,1.535,1.015,58.333,116.667,391.667,836.111,11.111,/
22,0.055,1.330,0.965,155.556,113.889,388.889,847.222,11.111,/
23,-0.460,1.265,1.110,50.000,105.556,388.889,875.000,27.778,/
24,-0.375,1.340,1.385,52.778,108.333,388.889,869.444,5.556,/
25,-0.335,1.445,1.295,69.444,113.889,388.889,855.556,13.889,/
26,-0.155,1.525,1.165,58.333,108.333,377.778,825.000,30.556,/
27,0.170,1.355,1.285,80.556,88.889,355.556,816.667,8.333,/
28,0.140,1.490,0.920,197.222,116.667,405.556,825.000,8.333,/
29,-0.540,1.215,0.955,58.333,116.667,405.556,888.889,63.889,/
30,-0.445,1.250,1.115,58.333,105.556,375.000,886.111,2.778,/
31,-0.450,1.295,0.620,61.111,116.667,391.667,858.333,27.778,/
32,-0.170,1.470,0.960,58.333,116.667,388.889,855.556,2.778,/
33,-0.030,1.175,0.940,172.222,113.889,377.778,822.222,33.333,/
34,-0.515,1.230,0.825,194.444,113.889,394.444,833.333,11.111,/
35,-0.550,1.165,0.880,63.889,113.889,375.000,836.111,2.778,/
36,-0.495,1.250,1.095,69.444,116.667,391.667,858.333,22.222,/
37,-0.450,1.485,0.495,61.111,111.111,397.222,872.222,13.889,/
38,-0.010,1.605,0.690,136.111,116.667,405.556,894.444,22.222,/
39,-0.615,1.845,0.035,188.889,102.778,363.889,850.000,44.444,/
