id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.145,0.910,-0.085,194.444,116.667,294.444,608.333,144.444,N
2,-0.160,1.010,-0.065,58.333,77.778,291.667,788.889,180.556,N
3,-0.180,0.890,-0.105,88.889,102.778,275.000,647.222,141.667,N
4,-0.150,0.715,-0.115,175.000,105.556,288.889,552.778,94.444,N
5,-0.220,0.820,-0.125,55.556,83.333,308.333,955.556,402.778,N
6,-0.225,0.810,-0.110,66.667,77.778,283.333,752.778,202.778,N
7,-0.220,0.725,-0.125,100.000,111.111,286.111,719.444,33.333,N
8,-0.265,0.760,-0.100,113.889,97.222,272.222,627.778,91.667,N
9,-0.225,0.915,-0.145,63.889,83.333,291.667,650.000,22.222,N
10,-0.180,0.730,-0.100,152.778,116.667,291.667,672.222,22.222,N
11,-0.225,0.745,-0.110,127.778,111.111,294.444,758.333,86.111,N
12,-0.220,0.855,-0.100,55.556,77.778,308.333,911.111,152.778,N
13,-0.250,0.760,-0.080,69.444,113.889,305.556,863.889,47.222,N
14,-0.250,0.795,-0.135,147.222,113.889,288.889,677.778,186.111,N
15,-0.260,0.850,-0.115,55.556,77.778,269.444,661.111,16.667,N
16,-0.250,0.845,-0.140,52.778,75.000,277.778,711.111,50.000,N
17,-0.140,0.820,-0.155,163.889,113.889,297.222,394.444,316.667,N
18,-0.265,0.760,-0.210,186.111,116.667,302.778,641.667,247.222,N
19,-0.245,0.840,-0.150,197.222,77.778,291.667,713.889,72.222,N
20,-0.245,0.845,-0.195,52.778,77.778,258.333,586.111,127.778,N
21,-0.225,0.775,-0.105,116.667,111.111,305.556,641.667,55.556,N
22,-0.175,0.680,-0.105,55.556,105.556,291.667,508.333,133.333,N
23,-0.205,0.940,-0.105,58.333,86.111,311.111,802.778,294.444,N
24,-0.220,0.930,-0.165,175.000,116.667,252.778,680.556,122.222,N
25,-0.190,0.775,-0.105,144.444,108.333,269.444,555.556,125.000,N
26,-0.230,0.770,-0.100,61.111,108.333,291.667,647.222,91.667,N
27,-0.200,0.935,-0.120,113.889,88.889,311.111,705.556,58.333,N
28,-0.210,0.925,-0.090,94.444,111.111,311.111,808.333,102.778,N
29,-0.160,0.705,-0.105,97.222,100.000,305.556,569.444,238.889,N
30,-0.175,0.870,-0.075,77.778,80.556,305.556,700.000,130.556,N
31,-0.160,0.940,-0.100,191.667,75.000,272.222,644.444,55.556,N
32,-0.165,0.810,-0.075,102.778,108.333,272.222,586.111,58.333,N
33,-0.100,0.885,-0.055,197.222,113.889,288.889,425.000,161.111,N
34,-0.155,0.855,-0.040,72.222,75.000,291.667,708.333,283.333,N
35,-0.145,0.785,-0.115,150.000,69.444,261.111,538.889,169.444,N
36,-0.210,0.755,-0.100,77.778,102.778,305.556,647.222,108.333,N
37,-0.220,0.735,-0.120,194.444,102.778,305.556,813.889,166.667,N
38,-0.195,0.960,-0.085,55.556,80.556,325.000,1016.667,202.778,N
39,-0.175,0.805,-0.105,127.778,108.333,288.889,719.444,297.222,N
40,-0.195,0.805,-0.100,63.889,113.889,305.556,705.556,13.889,N
41,-0.150,0.925,-0.030,77.778,80.556,291.667,694.444,11.111,N
42,-0.185,0.840,-0.065,186.111,116.667,277.778,755.556,61.111,N
43,-0.190,0.810,-0.045,194.444,116.667,277.778,713.889,41.667,N
44,-0.170,0.825,-0.085,111.111,113.889,291.667,483.333,230.556,N
45,-0.205,0.885,-0.040,58.333,111.111,336.111,905.556,422.222,N
