id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.560,1.390,-0.435,97.222,66.667,336.111,844.444,13.889,N
2,-0.530,1.160,-0.390,88.889,63.889,344.444,825.000,19.444,N
3,-0.525,1.195,-0.330,102.778,72.222,350.000,847.222,22.222,N
4,-0.530,1.325,-0.380,100.000,69.444,350.000,827.778,19.444,N
5,-0.525,1.540,-0.385,108.333,77.778,358.333,847.222,19.444,N
6,-0.505,1.365,-0.355,105.556,63.889,327.778,841.667,5.556,N
7,-0.485,1.565,-0.295,105.556,77.778,347.222,830.556,11.111,N
8,-0.475,1.495,-0.345,91.667,63.889,352.778,841.667,11.111,N
9,-0.480,1.430,-0.355,102.778,72.222,350.000,844.444,2.778,N
10,-0.505,1.460,-0.410,94.444,75.000,344.444,813.889,30.556,N
11,-0.510,1.580,-0.330,97.222,77.778,355.556,838.889,25.000,N
12,-0.515,1.495,-0.370,91.667,61.111,341.667,833.333,5.556,N
13,-0.455,1.470,-0.340,108.333,80.556,363.889,850.000,16.667,N
14,-0.450,1.455,-0.335,102.778,77.778,350.000,836.111,13.889,N
15,-0.465,1.510,-0.330,111.111,61.111,322.222,822.222,13.889,N
16,-0.425,1.350,-0.270,108.333,77.778,355.556,850.000,27.778,N
17,-0.425,1.375,-0.275,97.222,66.667,347.222,852.778,2.778,N
18,-0.435,1.175,-0.305,97.222,80.556,350.000,813.889,38.889,N
19,-0.460,1.325,-0.330,102.778,63.889,347.222,850.000,36.111,N
20,-0.460,1.095,-0.305,100.000,66.667,341.667,827.778,22.222,N
21,-0.440,1.365,-0.265,97.222,66.667,338.889,844.444,16.667,N
22,-0.420,1.585,-0.300,102.778,75.000,341.667,838.889,5.556,N
23,-0.420,1.540,-0.315,102.778,75.000,341.667,811.111,27.778,N
24,-0.455,1.530,-0.325,102.778,63.889,338.889,847.222,36.111,N
25,-0.470,1.550,-0.280,100.000,72.222,350.000,838.889,8.333,N
26,-0.460,1.575,-0.320,100.000,58.333,322.222,825.000,13.889,N
27,-0.470,1.375,-0.315,108.333,61.111,322.222,830.556,5.556,N
28,-0.470,1.485,-0.340,102.778,77.778,344.444,830.556,0.000,N
29,-0.475,1.635,-0.295,100.000,72.222,327.778,847.222,16.667,N
30,-0.460,1.615,-0.290,97.222,58.333,327.778,819.444,27.778,N
31,-0.415,1.600,-0.320,105.556,75.000,350.000,822.222,2.778,N
32,-0.450,1.520,-0.340,100.000,61.111,327.778,844.444,22.222,N
33,-0.455,1.475,-0.300,102.778,75.000,347.222,830.556,13.889,N
34,-0.440,1.615,-0.265,102.778,72.222,338.889,825.000,5.556,N
35,-0.430,1.455,-0.245,102.778,66.667,327.778,847.222,22.222,N
36,-0.390,1.600,-0.275,102.778,69.444,341.667,827.778,19.444,N
37,-0.405,1.520,-0.310,97.222,61.111,313.889,850.000,22.222,N
38,-0.425,1.600,-0.235,91.667,58.333,322.222,825.000,25.000,N
39,-0.420,1.635,-0.290,97.222,72.222,350.000,819.444,5.556,N
40,-0.420,1.650,-0.310,102.778,69.444,347.222,861.111,41.667,N
41,-0.450,1.500,-0.325,102.778,77.778,350.000,841.667,19.444,N
42,-0.450,1.620,-0.280,100.000,72.222,341.667,822.222,19.444,N
