id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.150,0.970,0.185,130.556,116.667,288.889,633.333,47.222,R
2,0.025,1.250,0.340,133.333,102.778,322.222,677.778,44.444,R
3,0.080,1.190,0.330,150.000,111.111,305.556,755.556,77.778,R
4,0.055,1.135,0.215,144.444,111.111,308.333,741.667,13.889,R
5,-0.045,0.955,0.015,127.778,94.444,272.222,683.333,58.333,R
6,-0.145,1.110,0.370,155.556,105.556,286.111,661.111,22.222,R
7,0.250,1.330,0.430,127.778,113.889,275.000,572.222,88.889,R
8,0.165,1.225,0.260,122.222,105.556,275.000,575.000,2.778,R
9,-0.065,0.860,-0.170,133.333,100.000,272.222,616.667,41.667,R
10,-0.350,0.835,0.110,125.000,94.444,291.667,619.444,2.778,R
11,0.070,1.310,0.415,113.889,100.000,294.444,641.667,22.222,R
12,0.135,1.365,0.345,161.111,111.111,302.778,744.444,102.778,R
13,0.030,1.205,0.165,130.556,86.111,277.778,669.444,75.000,R
14,-0.115,1.120,0.320,144.444,100.000,305.556,669.444,0.000,R
15,0.215,1.395,0.460,138.889,108.333,305.556,688.889,19.444,R
16,0.175,1.375,0.320,130.556,113.889,277.778,661.111,27.778,R
17,0.000,1.200,0.115,138.889,91.667,258.333,661.111,0.000,R
18,-0.105,1.105,0.315,127.778,94.444,275.000,616.667,44.444,R
19,0.185,1.315,0.385,127.778,105.556,297.222,619.444,2.778,R
20,0.100,1.195,0.230,138.889,102.778,294.444,663.889,44.444,R
21,-0.130,0.990,0.045,144.444,100.000,305.556,672.222,8.333,R
22,-0.145,1.130,0.215,138.889,100.000,297.222,658.333,13.889,R
23,0.085,1.325,0.300,133.333,97.222,288.889,677.778,19.444,R
24,0.090,1.190,0.240,141.667,94.444,288.889,658.333,19.444,R
25,-0.075,1.105,-0.010,133.333,102.778,272.222,644.444,13.889,R
26,-0.150,1.095,0.320,122.222,97.222,283.333,622.222,22.222,R
27,0.095,1.380,0.370,133.333,105.556,283.333,658.333,36.111,R
28,0.135,1.335,0.225,125.000,105.556,288.889,672.222,13.889,R
29,-0.050,1.140,0.180,133.333,97.222,275.000,658.333,13.889,R
30,0.090,1.405,0.400,138.889,94.444,294.444,675.000,16.667,R
31,0.125,1.270,0.315,133.333,91.667,300.000,708.333,33.333,R
32,-0.020,1.140,0.085,144.444,102.778,300.000,730.556,22.222,R
33,-0.050,1.265,0.385,141.667,94.444,291.667,666.667,63.889,R
34,0.225,1.380,0.390,130.556,97.222,275.000,652.778,13.889,R
35,0.125,1.225,0.185,125.000,100.000,272.222,675.000,22.222,R
36,-0.130,1.180,0.210,125.000,113.889,291.667,641.667,33.333,R
37,0.125,1.360,0.440,125.000,97.222,277.778,627.778,13.889,R
38,0.170,1.315,0.390,141.667,97.222,302.778,652.778,25.000,R
39,0.035,1.125,0.145,155.556,100.000,291.667,697.222,44.444,R
40,-0.100,1.080,0.430,127.778,100.000,294.444,666.667,30.556,R
41,0.230,1.440,0.450,138.889,111.111,277.778,683.333,16.667,R
42,-0.005,1.155,0.170,138.889,113.889,302.778,661.111,22.222,R
43,0.030,1.225,0.395,127.778,116.667,291.667,630.556,30.556,R
44,0.140,1.360,0.355,136.111,102.778,261.111,633.333,2.778,R
45,0.025,1.180,0.240,125.000,94.444,291.667,641.667,8.333,R
46,-0.175,0.835,-0.065,138.889,100.000,291.667,652.778,11.111,R
47,-0.335,0.885,0.120,122.222,102.778,291.667,641.667,11.111,R
48,-0.080,1.095,0.175,138.889,100.000,297.222,636.111,5.556,R
49,-0.095,1.045,0.095,150.000,102.778,300.000,661.111,25.000,R
50,-0.225,0.960,0.025,144.444,102.778,294.444,663.889,2.778,R
51,-0.120,1.220,0.285,150.000,102.778,291.667,652.778,11.111,R
52,0.060,1.245,0.245,133.333,102.778,275.000,652.778,0.000,R
53,0.015,1.220,0.095,130.556,91.667,277.778,644.444,8.333,R
54,-0.160,1.030,0.205,122.222,116.667,291.667,619.444,25.000,R
55,0.135,1.405,0.380,127.778,94.444,275.000,644.444,25.000,R
56,0.120,1.270,0.240,144.444,97.222,291.667,669.444,25.000,R
57,-0.085,1.025,0.040,136.111,102.778,291.667,688.889,19.444,R
58,-0.200,1.105,0.215,138.889,108.333,294.444,686.111,2.778,R
59,0.065,1.255,0.255,141.667,108.333,288.889,722.222,36.111,R
