id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.770,0.140,-0.600,136.111,108.333,394.444,655.556,22.222,L
2,-0.785,0.115,-0.390,197.222,113.889,402.778,669.444,13.889,L
3,-0.595,0.325,-0.305,197.222,108.333,397.222,663.889,5.556,L
4,-0.550,0.475,-0.200,83.333,113.889,405.556,655.556,8.333,L
5,-0.455,0.685,-0.150,69.444,116.667,405.556,672.222,16.667,L
6,-0.345,0.400,-0.120,194.444,100.000,388.889,636.111,36.111,L
7,-0.225,0.430,-0.080,197.222,94.444,358.333,625.000,11.111,L
8,-0.245,0.605,0.065,197.222,102.778,377.778,600.000,25.000,L
9,-0.185,0.595,0.145,175.000,111.111,405.556,627.778,27.778,L
10,-0.230,0.745,0.105,77.778,113.889,402.778,616.667,11.111,L
11,-0.195,0.940,0.020,197.222,111.111,400.000,647.222,30.556,L
12,-0.200,0.730,-0.040,197.222,113.889,391.667,655.556,8.333,L
13,-0.320,0.540,-0.050,66.667,113.889,402.778,650.000,5.556,L
14,-0.215,0.600,-0.010,197.222,108.333,391.667,630.556,19.444,L
15,-0.275,0.775,-0.005,197.222,105.556,391.667,633.333,2.778,L
16,-0.095,0.910,-0.070,197.222,102.778,397.222,619.444,13.889,L
17,-0.265,0.640,-0.055,197.222,105.556,372.222,600.000,19.444,L
18,-0.170,0.625,-0.010,197.222,111.111,386.111,583.333,16.667,L
19,-0.175,0.815,0.040,197.222,108.333,386.111,605.556,22.222,L
20,-0.070,0.930,0.030,197.222,105.556,391.667,611.111,5.556,L
21,-0.310,1.040,-0.040,197.222,113.889,402.778,638.889,27.778,L
22,-0.390,0.755,-0.030,86.111,116.667,405.556,650.000,11.111,L
23,-0.265,0.825,0.020,197.222,113.889,402.778,633.333,16.667,L
24,-0.155,0.965,0.020,197.222,108.333,366.667,630.556,2.778,L
25,-0.100,1.500,-0.120,197.222,94.444,383.333,588.889,41.667,F
26,-0.275,1.150,-0.070,197.222,108.333,377.778,619.444,30.556,L
27,-0.160,0.860,-0.105,197.222,105.556,394.444,594.444,25.000,L
28,-0.235,0.900,0.005,197.222,105.556,366.667,616.667,22.222,L
29,-0.250,1.025,-0.010,197.222,111.111,386.111,600.000,16.667,L
