id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.195,0.940,0.005,175.000,50.000,236.111,638.889,11.111,N
2,-0.170,0.945,-0.020,166.667,83.333,297.222,622.222,16.667,N
3,-0.165,1.145,0.120,152.778,44.444,241.667,619.444,2.778,N
4,-0.030,1.255,0.170,172.222,47.222,238.889,602.778,16.667,N
5,0.020,1.165,0.200,158.333,41.667,238.889,611.111,8.333,N
6,-0.015,1.235,0.145,175.000,50.000,266.667,627.778,16.667,N
7,-0.085,1.145,0.100,169.444,47.222,258.333,658.333,30.556,N
8,-0.120,1.025,0.075,169.444,47.222,272.222,666.667,8.333,N
9,-0.160,0.975,0.080,152.778,47.222,250.000,636.111,30.556,N
10,-0.055,1.310,0.140,158.333,44.444,252.778,636.111,0.000,N
11,-0.055,1.135,0.125,163.889,47.222,247.222,638.889,2.778,N
12,-0.055,1.155,0.130,166.667,44.444,255.556,625.000,13.889,N
13,-0.050,1.040,0.120,161.111,47.222,238.889,636.111,11.111,N
14,-0.090,1.030,0.085,166.667,47.222,238.889,627.778,8.333,N
15,-0.125,1.095,0.110,166.667,47.222,241.667,600.000,27.778,N
16,-0.040,1.235,0.125,163.889,47.222,244.444,644.444,44.444,N
17,-0.050,1.055,0.140,169.444,47.222,272.222,655.556,11.111,N
18,-0.075,1.090,0.075,197.222,47.222,261.111,663.889,8.333,N
19,-0.165,1.015,0.035,155.556,47.222,252.778,672.222,8.333,N
20,-0.140,1.140,0.095,150.000,44.444,241.667,658.333,13.889,N
21,-0.085,1.055,0.125,155.556,47.222,247.222,647.222,11.111,N
22,-0.040,1.005,0.125,158.333,44.444,244.444,616.667,30.556,N
23,-0.080,0.950,0.070,152.778,44.444,236.111,627.778,11.111,N
24,-0.195,0.935,-0.010,144.444,44.444,244.444,605.556,22.222,N
25,-0.160,1.050,0.015,163.889,47.222,261.111,638.889,33.333,N
26,-0.200,0.900,-0.020,180.556,47.222,244.444,680.556,41.667,N
27,-0.225,1.005,-0.015,175.000,52.778,258.333,677.778,2.778,N
28,-0.145,1.130,0.095,161.111,44.444,241.667,669.444,8.333,N
29,-0.075,1.120,0.095,161.111,47.222,244.444,652.778,16.667,N
30,-0.085,1.065,0.060,166.667,47.222,241.667,638.889,13.889,N
31,-0.155,0.905,0.020,161.111,47.222,244.444,644.444,5.556,N
32,-0.165,0.965,0.005,169.444,50.000,238.889,658.333,13.889,N
33,-0.200,0.780,0.050,150.000,36.111,230.556,616.667,41.667,N
