id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.165,1.615,-0.640,50.000,86.111,383.333,1202.778,19.444,R
2,-0.185,1.275,-0.670,47.222,77.778,383.333,1213.889,11.111,R
3,-0.360,1.430,-0.825,50.000,77.778,383.333,1263.889,50.000,R
4,-0.420,1.010,-0.960,55.556,80.556,113.889,1225.000,38.889,R
5,-0.590,1.260,-1.000,50.000,83.333,-9150.000,1172.222,52.778,R
6,-0.500,0.980,-0.945,50.000,77.778,383.333,1213.889,41.667,R
7,-0.475,1.355,-0.940,47.222,72.222,380.556,1144.444,69.444,R
8,-0.400,1.140,-0.855,52.778,77.778,100.000,1216.667,72.222,R
9,-0.400,1.420,-0.805,50.000,80.556,383.333,1172.222,44.444,R
10,-0.375,1.185,-0.865,52.778,75.000,383.333,1225.000,52.778,R
11,-0.445,1.395,-0.875,50.000,83.333,383.333,1169.444,55.556,R
12,-0.445,1.255,-0.875,55.556,80.556,386.111,1247.222,77.778,R
13,-0.455,1.250,-0.890,44.444,69.444,377.778,1191.667,55.556,R
14,-0.475,1.355,-0.880,52.778,80.556,386.111,1233.333,41.667,R
15,-0.450,1.220,-0.930,55.556,80.556,386.111,1202.778,30.556,R
16,-0.480,1.355,-0.925,50.000,77.778,383.333,1219.444,16.667,R
17,-0.470,1.160,-0.980,50.000,77.778,383.333,1188.889,30.556,R
18,-0.450,1.445,-0.850,50.000,83.333,383.333,1211.111,22.222,R
19,-0.400,1.200,-0.900,47.222,72.222,380.556,1166.667,44.444,R
20,-0.410,1.440,-0.870,47.222,72.222,380.556,1216.667,50.000,R
21,-0.375,1.195,-0.910,52.778,75.000,111.111,1183.333,33.333,R
22,-0.410,1.470,-0.815,50.000,77.778,383.333,1225.000,41.667,R
23,-0.390,1.140,-0.895,50.000,75.000,383.333,1183.333,41.667,R
24,-0.435,1.475,-0.990,52.778,83.333,383.333,1194.444,11.111,R
25,-0.435,1.135,-0.875,50.000,80.556,383.333,1208.333,13.889,R
26,-0.485,1.430,-0.945,47.222,75.000,380.556,1205.556,2.778,R
27,-0.505,1.080,-0.965,50.000,72.222,380.556,1183.333,22.222,R
28,-0.540,1.215,-1.000,44.444,72.222,-36736.111,1177.778,5.556,R
29,-0.455,1.365,-0.775,47.222,72.222,380.556,1208.333,30.556,R
30,-0.185,1.295,-0.690,50.000,72.222,100.000,1191.667,16.667,R
31,-0.280,1.350,-0.870,52.778,83.333,108.333,1188.889,2.778,R
32,-0.445,1.330,-0.945,50.000,75.000,380.556,1258.333,69.444,R
33,-0.480,1.050,-1.000,50.000,72.222,-42797.222,1216.667,41.667,R
34,-0.515,1.160,-0.985,47.222,72.222,380.556,1238.889,22.222,R
35,-0.475,1.325,-0.965,52.778,80.556,380.556,1252.778,13.889,R
36,-0.445,1.180,-0.905,47.222,72.222,380.556,1255.556,2.778,R
37,-0.440,1.225,-0.950,47.222,75.000,380.556,1200.000,55.556,R
38,-0.505,1.315,-0.945,52.778,83.333,383.333,1250.000,50.000,R
39,-0.390,1.110,-0.870,50.000,75.000,380.556,1219.444,30.556,R
40,-0.265,1.495,-0.645,52.778,77.778,383.333,1247.222,27.778,R
41,-0.070,1.515,-0.535,55.556,83.333,386.111,1236.111,11.111,R
42,-0.220,1.355,-0.770,52.778,77.778,108.333,1202.778,33.333,R
43,-0.375,1.270,-0.860,52.778,80.556,386.111,1258.333,55.556,R
44,-0.440,1.055,-0.940,55.556,80.556,111.111,1247.222,11.111,R
45,-0.470,1.305,-0.900,44.444,69.444,377.778,1261.111,13.889,R
46,-0.455,1.030,-0.925,50.000,77.778,383.333,1250.000,11.111,R
47,-0.470,1.235,-0.970,47.222,77.778,105.556,1191.667,58.333,R
48,-0.425,1.245,-0.830,47.222,72.222,380.556,1227.778,36.111,R
49,-0.380,1.410,-0.875,44.444,72.222,377.778,1219.444,8.333,R
50,-0.360,0.920,-0.810,52.778,80.556,125.000,1266.667,47.222,R
51,-0.470,1.290,-0.905,50.000,77.778,383.333,1208.333,58.333,R
52,-0.450,1.355,-0.930,50.000,80.556,383.333,1319.444,111.111,R
53,-0.395,1.305,-0.920,52.778,83.333,111.111,1288.889,30.556,R
54,-0.415,1.095,-0.850,47.222,72.222,380.556,1258.333,30.556,R
55,-0.465,1.360,-0.900,50.000,80.556,383.333,1213.889,44.444,R
56,-0.335,1.135,-0.840,50.000,80.556,163.889,1211.111,2.778,R
57,-0.275,1.600,-0.685,47.222,75.000,380.556,1166.667,44.444,R
58,-0.195,1.335,-0.625,50.000,72.222,380.556,1200.000,33.333,R
59,-0.180,1.515,-0.715,50.000,77.778,113.889,1147.222,52.778,R
60,-0.210,1.520,-0.665,50.000,77.778,383.333,1230.556,83.333,R
61,-0.255,1.235,-0.670,50.000,75.000,383.333,1266.667,36.111,R
62,-0.200,1.315,-0.680,52.778,77.778,105.556,1183.333,83.333,R
63,-0.070,1.535,-0.545,50.000,77.778,383.333,1244.444,61.111,R
64,-0.315,1.200,-0.840,52.778,77.778,380.556,1147.222,97.222,R
65,-0.620,1.065,-1.000,50.000,80.556,-82116.667,1211.111,63.889,R
66,-0.675,1.005,-1.000,50.000,77.778,-83358.333,1241.667,30.556,R
67,-0.590,0.960,-1.000,52.778,83.333,-84547.222,1188.889,52.778,R
68,-0.595,1.200,-0.985,44.444,69.444,377.778,1216.667,27.778,R
69,-0.485,1.060,-0.980,50.000,77.778,383.333,1197.222,19.444,R
70,-0.440,1.260,-0.945,50.000,77.778,383.333,1211.111,13.889,R
71,-0.420,1.340,-0.925,44.444,72.222,377.778,1225.000,13.889,R
72,-0.370,1.215,-0.920,50.000,77.778,119.444,1238.889,13.889,R
73,-0.430,1.345,-0.925,50.000,80.556,383.333,1230.556,8.333,R
74,-0.430,1.290,-0.900,50.000,75.000,380.556,1200.000,30.556,R
75,-0.445,1.090,-0.960,50.000,77.778,105.556,1222.222,22.222,R
76,-0.460,1.310,-0.970,52.778,80.556,113.889,1222.222,0.000,R
77,-0.490,1.140,-0.915,52.778,77.778,383.333,1238.889,16.667,R
78,-0.620,1.160,-1.000,47.222,75.000,-97927.778,1175.000,63.889,R
79,-0.575,1.225,-1.000,47.222,75.000,-99102.778,1175.000,0.000,R
80,-0.435,1.280,-0.915,50.000,72.222,380.556,1216.667,41.667,R
81,-0.450,1.340,-0.945,50.000,77.778,138.889,1275.000,58.333,R
82,-0.425,1.135,-0.950,52.778,83.333,130.556,1241.667,33.333,R
83,-0.450,1.330,-0.950,50.000,77.778,380.556,1241.667,0.000,R
84,-0.430,1.200,-0.890,50.000,80.556,383.333,1261.111,19.444,R
85,-0.415,1.315,-0.940,55.556,88.889,119.444,1211.111,50.000,R
86,-0.410,1.265,-0.800,50.000,77.778,383.333,1266.667,55.556,R
87,-0.485,1.205,-0.960,50.000,75.000,383.333,1250.000,16.667,R
88,-0.205,1.310,-0.665,52.778,77.778,108.333,1225.000,25.000,R
89,-0.045,1.540,-0.425,50.000,77.778,383.333,1266.667,41.667,R
90,-0.065,1.425,-0.595,50.000,77.778,119.444,1288.889,22.222,R
91,-0.395,0.975,-0.915,55.556,80.556,102.778,1252.778,36.111,R
92,-0.535,1.170,-0.950,52.778,86.111,383.333,1188.889,63.889,R
93,-0.350,1.230,-0.745,50.000,77.778,383.333,1233.333,44.444,R
94,-0.215,1.125,-0.700,55.556,83.333,147.222,1166.667,66.667,R
95,-0.330,1.230,-0.825,50.000,75.000,380.556,1230.556,63.889,R
96,-0.645,0.875,-1.000,47.222,75.000,-120100.000,1180.556,50.000,R
97,-0.805,0.760,-1.000,50.000,77.778,-121300.000,1200.000,19.444,R
98,-0.850,1.010,-1.000,47.222,69.444,-122494.444,1194.444,5.556,R
99,-0.745,0.765,-1.000,50.000,75.000,-123733.333,1241.667,47.222,R
100,-0.625,1.240,-1.000,50.000,75.000,-124894.444,1161.111,80.556,R
101,-0.480,1.320,-0.915,50.000,72.222,380.556,1244.444,83.333,R
102,-0.360,1.225,-0.690,50.000,72.222,380.556,1219.444,25.000,R
103,0.190,1.850,-0.260,50.000,75.000,100.000,1211.111,8.333,R
104,-0.090,1.320,-0.640,52.778,77.778,122.222,1244.444,33.333,R
105,-0.515,1.100,-1.000,50.000,75.000,-130991.667,1177.778,66.667,R
106,-0.725,1.130,-1.000,50.000,75.000,-132208.333,1216.667,38.889,R
107,-0.680,0.800,-1.000,50.000,72.222,-133458.333,1247.222,30.556,R
108,-0.635,1.225,-1.000,50.000,80.556,-134663.889,1208.333,38.889,R
109,-0.585,1.275,-1.000,47.222,72.222,-135877.778,1211.111,2.778,R
110,-0.560,1.220,-1.000,52.778,77.778,-137038.889,1163.889,47.222,R
111,-0.495,1.365,-0.920,52.778,83.333,386.111,1222.222,58.333,R
112,-0.500,1.080,-0.970,50.000,77.778,102.778,1177.778,44.444,R
113,-0.570,1.455,-1.000,47.222,75.000,-140647.222,1205.556,27.778,R
114,-0.605,1.005,-1.000,50.000,80.556,-141836.111,1191.667,13.889,R
115,-0.560,1.465,-1.000,44.444,72.222,-143044.444,1202.778,11.111,R
116,-0.420,1.390,-0.825,50.000,72.222,380.556,1233.333,30.556,R
117,-0.395,1.340,-0.855,47.222,75.000,111.111,1197.222,36.111,R
118,-0.325,1.540,-0.725,50.000,80.556,383.333,1236.111,38.889,R
119,-0.275,1.300,-0.710,50.000,72.222,383.333,1163.889,72.222,R
120,-0.245,1.630,-0.685,52.778,83.333,380.556,1166.667,2.778,R
121,-0.125,1.415,-0.555,50.000,72.222,380.556,1219.444,52.778,R
122,-0.080,1.745,-0.545,52.778,86.111,386.111,1188.889,30.556,R
123,0.440,1.935,0.190,50.000,72.222,377.778,1238.889,50.000,R
124,0.445,1.840,-0.050,50.000,77.778,102.778,1152.778,86.111,R
125,-0.005,1.535,-0.560,50.000,83.333,130.556,1213.889,61.111,R
126,-0.440,0.985,-0.950,50.000,75.000,97.222,1233.333,19.444,R
127,-0.645,1.100,-1.000,44.444,72.222,-157497.222,1208.333,25.000,R
128,-0.855,0.685,-1.000,50.000,77.778,-158697.222,1205.556,2.778,R
129,-0.905,0.855,-1.000,47.222,72.222,-159886.111,1186.111,19.444,R
130,-0.625,1.175,-0.965,47.222,72.222,380.556,1238.889,52.778,R
131,-0.460,1.075,-0.935,50.000,77.778,166.667,1163.889,75.000,R
132,-0.350,1.480,-0.840,52.778,80.556,383.333,1213.889,50.000,R
133,-0.370,1.145,-0.795,52.778,80.556,383.333,1172.222,41.667,R
134,-0.360,1.470,-0.870,50.000,80.556,158.333,1186.111,13.889,R
135,-0.305,1.205,-0.745,52.778,80.556,383.333,1219.444,33.333,R
136,-0.330,1.460,-0.860,50.000,80.556,119.444,1183.333,36.111,R
137,-0.380,1.210,-0.765,47.222,66.667,380.556,1202.778,19.444,R
138,-0.425,1.205,-0.880,52.778,80.556,383.333,1141.667,61.111,R
139,-0.395,1.330,-0.815,52.778,77.778,383.333,1222.222,80.556,R
140,-0.350,1.065,-0.815,52.778,77.778,383.333,1191.667,30.556,R
141,-0.530,1.215,-1.000,47.222,77.778,-174222.222,1200.000,8.333,R
142,-0.590,0.950,-0.995,55.556,83.333,386.111,1169.444,30.556,R
143,0.215,1.635,-0.085,47.222,72.222,380.556,1172.222,2.778,R
144,0.240,1.480,-0.215,50.000,72.222,122.222,1202.778,30.556,R
145,-0.245,0.940,-0.775,55.556,88.889,111.111,1150.000,52.778,R
146,-0.685,0.865,-1.000,52.778,80.556,-180147.222,1236.111,86.111,R
147,-0.900,0.495,-1.000,50.000,77.778,-181313.889,1163.889,72.222,R
148,-0.965,0.775,-1.000,47.222,77.778,-182497.222,1183.333,19.444,R
149,-0.960,0.455,-1.000,47.222,75.000,-183705.556,1205.556,22.222,R
150,-0.875,0.950,-1.000,47.222,75.000,-184911.111,1205.556,0.000,R
151,-0.655,0.920,-1.000,47.222,66.667,-186116.667,1202.778,2.778,R
152,-0.510,1.295,-0.920,50.000,75.000,383.333,1200.000,2.778,R
153,-0.300,1.560,-0.350,52.778,77.778,383.333,1238.889,38.889,R
154,0.540,1.805,0.065,52.778,72.222,116.667,1194.444,44.444,R
155,0.195,1.670,-0.375,50.000,75.000,119.444,1227.778,33.333,R
156,-0.355,1.160,-0.870,52.778,75.000,383.333,1211.111,16.667,R
157,-0.660,1.020,-1.000,52.778,80.556,-193358.333,1177.778,33.333,R
158,-0.700,1.045,-1.000,50.000,75.000,-194602.778,1241.667,63.889,R
159,-0.690,0.870,-1.000,52.778,75.000,-195833.333,1230.556,11.111,R
160,-0.535,1.230,-0.995,44.444,72.222,377.778,1200.000,30.556,R
161,-0.620,1.250,-1.000,52.778,77.778,-198250.000,1216.667,16.667,R
162,-0.665,0.940,-1.000,58.333,83.333,-199486.111,1241.667,25.000,R
163,-0.665,1.315,-1.000,50.000,77.778,-200700.000,1208.333,33.333,R
164,-0.590,1.230,-1.000,52.778,77.778,-201950.000,1252.778,44.444,R
165,-0.575,1.150,-0.995,52.778,77.778,383.333,1186.111,66.667,R
166,0.405,2.075,0.135,50.000,77.778,380.556,1202.778,16.667,R
167,0.570,1.740,0.115,50.000,72.222,100.000,1191.667,11.111,R
168,-0.190,1.225,-0.800,55.556,86.111,113.889,1188.889,2.778,R
169,-0.945,0.590,-1.000,52.778,77.778,-207958.333,1238.889,50.000,R
170,-1.000,0.500,-1.000,209180.556,75.000,-209147.222,1183.333,55.556,R
171,-0.960,0.890,-1.000,50.000,80.556,-210377.778,1233.333,50.000,R
172,-0.760,0.835,-1.000,52.778,77.778,-211633.333,1255.556,22.222,R
173,-0.575,1.410,-0.975,47.222,75.000,380.556,1283.333,27.778,R
174,-0.470,1.350,-0.930,50.000,72.222,97.222,1219.444,63.889,R
175,-0.415,1.360,-0.890,50.000,72.222,380.556,1230.556,11.111,R
176,-0.375,1.650,-0.805,50.000,75.000,380.556,1236.111,5.556,R
177,-0.375,1.540,-0.855,47.222,72.222,127.778,1202.778,33.333,R
178,-0.390,1.460,-0.885,52.778,77.778,383.333,1250.000,47.222,R
179,-0.435,1.275,-0.940,50.000,75.000,380.556,1213.889,36.111,R
180,-0.495,1.370,-1.000,50.000,77.778,-221541.667,1272.222,58.333,R
181,-0.430,1.145,-0.805,50.000,77.778,383.333,1277.778,5.556,R
182,-0.310,1.635,-0.750,52.778,83.333,386.111,1250.000,27.778,R
183,-0.195,1.715,-0.620,47.222,72.222,377.778,1230.556,19.444,R
184,-0.130,1.370,-0.660,47.222,72.222,125.000,1219.444,11.111,R
185,-0.175,1.660,-0.635,52.778,77.778,383.333,1241.667,22.222,R
186,-0.220,1.320,-0.685,50.000,72.222,383.333,1211.111,30.556,R
187,-0.165,1.650,-0.680,50.000,75.000,383.333,1216.667,5.556,R
188,-0.185,1.455,-0.625,55.556,77.778,386.111,1211.111,5.556,R
189,-0.255,1.395,-0.740,52.778,77.778,383.333,1200.000,11.111,R
190,-0.365,1.470,-0.875,50.000,75.000,105.556,1241.667,41.667,R
191,-0.615,0.805,-1.000,55.556,80.556,-235063.889,1225.000,16.667,R
192,-0.730,1.115,-1.000,47.222,75.000,-236308.333,1238.889,13.889,R
193,-0.565,1.130,-0.910,52.778,75.000,383.333,1197.222,41.667,R
194,-0.400,1.155,-0.890,55.556,80.556,113.889,1205.556,8.333,R
195,-0.270,1.520,-0.675,47.222,75.000,380.556,1213.889,8.333,R
196,-0.195,1.360,-0.585,50.000,75.000,380.556,1213.889,0.000,R
197,-0.115,1.500,-0.630,52.778,80.556,383.333,1197.222,16.667,R
198,0.025,1.735,-0.470,52.778,77.778,383.333,1205.556,8.333,R
199,-0.175,1.540,-0.680,50.000,77.778,100.000,1241.667,36.111,R
200,-0.340,1.115,-0.865,55.556,86.111,111.111,1227.778,13.889,R
201,-0.455,1.375,-0.905,52.778,80.556,383.333,1238.889,11.111,R
202,-0.485,1.140,-0.940,50.000,77.778,383.333,1211.111,27.778,R
203,-0.475,1.075,-1.000,52.778,83.333,-249638.889,1183.333,27.778,R
204,-0.570,1.285,-1.000,50.000,77.778,-250855.556,1213.889,30.556,R
205,-0.550,1.110,-0.910,50.000,75.000,383.333,1216.667,2.778,R
206,-0.505,1.025,-1.000,47.222,75.000,-253238.889,1163.889,52.778,R
207,-0.460,1.315,-0.875,47.222,72.222,380.556,1197.222,33.333,R
208,-0.455,1.165,-0.815,50.000,75.000,380.556,1227.778,30.556,R
209,-0.435,1.125,-0.955,47.222,72.222,119.444,1172.222,55.556,R
210,-0.340,1.425,-0.810,50.000,80.556,383.333,1252.778,80.556,R
211,-0.355,1.080,-0.840,47.222,69.444,97.222,1200.000,52.778,R
212,-0.530,1.235,-1.000,52.778,80.556,-260452.778,1169.444,30.556,R
213,-0.635,0.975,-1.000,55.556,83.333,-261652.778,1200.000,30.556,R
214,-0.680,1.155,-1.000,55.556,86.111,-262844.444,1191.667,8.333,R
215,-0.585,1.025,-0.880,50.000,75.000,383.333,1186.111,5.556,R
216,-0.585,1.300,-1.000,50.000,72.222,-265155.556,1119.444,66.667,R
217,-0.475,1.315,-0.960,55.556,83.333,386.111,1172.222,52.778,R
218,-0.460,1.215,-0.960,50.000,77.778,383.333,1136.111,36.111,R
219,-0.455,1.380,-0.885,47.222,72.222,380.556,1211.111,75.000,R
220,-0.455,1.070,-0.970,50.000,72.222,383.333,1136.111,75.000,R
221,-0.410,1.355,-0.785,52.778,80.556,386.111,1200.000,63.889,R
222,-0.245,1.250,-0.650,52.778,83.333,386.111,1180.556,19.444,R
223,-0.210,1.600,-0.705,44.444,72.222,377.778,1147.222,33.333,R
224,-0.330,1.150,-0.815,52.778,77.778,102.778,1155.556,8.333,R
225,-0.350,1.425,-0.790,50.000,83.333,383.333,1125.000,30.556,R
226,-0.315,1.085,-0.755,52.778,72.222,380.556,1113.889,11.111,R
227,-0.120,1.685,-0.295,50.000,80.556,375.000,1133.333,19.444,R
228,0.115,1.575,-0.365,50.000,75.000,119.444,1083.333,50.000,R
229,-0.305,1.350,-0.805,47.222,75.000,380.556,1097.222,13.889,R
230,-0.470,1.115,-0.765,52.778,80.556,383.333,1047.222,50.000,R
231,-0.245,1.345,-0.640,52.778,80.556,386.111,1055.556,8.333,R
232,-0.465,1.135,-0.910,52.778,83.333,386.111,1016.667,38.889,R
233,-0.470,1.310,-0.550,50.000,77.778,380.556,1030.556,13.889,R
234,-0.155,1.455,-0.515,50.000,80.556,380.556,1030.556,0.000,R
235,-0.400,1.060,-0.735,50.000,80.556,372.222,1002.778,27.778,R
236,-0.715,1.065,-0.960,52.778,97.222,386.111,994.444,8.333,J
237,-0.745,0.915,-1.000,47.222,77.778,-288205.556,980.556,13.889,J
238,-1.000,0.460,-1.000,289238.889,72.222,-289208.333,1000.000,19.444,J
239,-1.000,0.945,-1.000,290205.556,77.778,-290172.222,966.667,33.333,J
