id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,-0.395,1.295,-0.535,127.778,88.889,402.778,763.889,11.111,N
2,-0.390,1.220,-0.560,147.222,88.889,377.778,755.556,8.333,N
3,-0.430,1.260,-0.560,155.556,91.667,405.556,744.444,11.111,N
4,-0.355,1.525,-0.535,166.667,88.889,391.667,780.556,36.111,N
5,-0.375,1.370,-0.610,152.778,91.667,402.778,750.000,30.556,N
6,-0.430,1.285,-0.595,138.889,88.889,386.111,716.667,33.333,N
7,-0.405,1.270,-0.595,155.556,86.111,386.111,730.556,13.889,N
8,-0.445,1.295,-0.615,150.000,77.778,394.444,727.778,2.778,N
9,-0.485,1.375,-0.550,138.889,86.111,386.111,741.667,13.889,N
10,-0.390,1.370,-0.570,152.778,91.667,402.778,747.222,5.556,N
11,-0.410,1.320,-0.585,152.778,83.333,397.222,738.889,8.333,N
12,-0.425,1.310,-0.555,147.222,86.111,388.889,713.889,25.000,N
13,-0.395,1.355,-0.570,158.333,86.111,405.556,752.778,38.889,N
14,-0.430,1.330,-0.595,155.556,88.889,400.000,766.667,13.889,N
15,-0.445,1.400,-0.545,150.000,80.556,366.667,736.111,30.556,N
16,-0.410,1.330,-0.565,155.556,83.333,383.333,713.889,22.222,N
17,-0.440,1.315,-0.570,138.889,86.111,388.889,733.333,19.444,N
18,-0.435,1.310,-0.610,155.556,94.444,402.778,744.444,11.111,N
19,-0.460,1.315,-0.615,166.667,88.889,380.556,761.111,16.667,N
20,-0.445,1.265,-0.585,147.222,88.889,380.556,736.111,25.000,N
21,-0.425,1.310,-0.635,141.667,86.111,386.111,733.333,2.778,N
22,-0.485,1.235,-0.595,158.333,86.111,391.667,758.333,25.000,N
23,-0.455,1.345,-0.605,155.556,83.333,386.111,763.889,5.556,N
24,-0.460,1.285,-0.615,161.111,88.889,388.889,736.111,27.778,N
25,-0.445,1.230,-0.585,152.778,91.667,369.444,719.444,16.667,N
26,-0.425,1.285,-0.590,155.556,91.667,402.778,733.333,13.889,N
27,-0.430,1.285,-0.580,161.111,83.333,388.889,747.222,13.889,N
28,-0.395,1.415,-0.540,155.556,91.667,402.778,758.333,11.111,N
29,0.530,0.595,-0.635,38.889,69.444,352.778,669.444,88.889,V
30,-0.400,1.260,-0.550,152.778,88.889,402.778,794.444,125.000,N
31,-0.355,1.360,-0.495,166.667,88.889,391.667,750.000,44.444,N
32,-0.355,1.380,-0.580,166.667,83.333,383.333,763.889,13.889,N
33,-0.455,1.295,-0.550,163.889,86.111,388.889,736.111,27.778,N
34,-0.380,1.435,-0.580,141.667,91.667,388.889,736.111,0.000,N
35,-0.410,1.300,-0.575,147.222,94.444,405.556,741.667,5.556,N
36,-0.385,1.390,-0.545,152.778,80.556,397.222,750.000,8.333,N
37,-0.355,1.390,-0.505,141.667,91.667,386.111,775.000,25.000,N
38,-0.355,1.450,-0.565,138.889,83.333,383.333,761.111,13.889,N
39,-0.405,1.385,-0.500,144.444,88.889,380.556,744.444,16.667,N
40,-0.330,1.505,-0.490,155.556,86.111,400.000,744.444,0.000,N
41,-0.340,1.400,-0.525,163.889,94.444,386.111,786.111,41.667,N
42,-0.350,1.415,-0.515,158.333,86.111,386.111,763.889,22.222,N
43,-0.320,1.395,-0.530,155.556,83.333,388.889,758.333,5.556,N
44,-0.380,1.300,-0.595,161.111,77.778,391.667,763.889,5.556,N
45,-0.440,1.390,-0.530,155.556,86.111,388.889,747.222,16.667,N
46,-0.355,1.540,-0.565,169.444,91.667,402.778,772.222,25.000,N
